Date (GMT),Heure (GMT),Titre
16 juin,15 h 00,Power BI Dataviz World Championships : Start Your Journey to Barcelona
16 juin,22 h 00,Get Certified : (DP‑700) Fabric Data Engineer Essentials (APAC)
17 juin,15 h 00,Get Certified : (DP‑700) Fabric Data Engineer Essentials (US/EMEA)
17 juin,22 h 00,Get Certified : (DP‑600) Fabric Analytics Engineer Essentials (APAC)
18 juin,15 h 00,Get Certified : (DP‑600) Fabric Analytics Engineer Essentials (US/EMEA)
19 juin,15 h 00,Orchestrating Fabric Spark and Best Practices for Production‑Ready Workload
22 juin,15 h 00,Get Certified : (PL‑300) Power BI Data Analyst (US/EMEA)
23 juin,19 h 00,Get Certified : Which Data Exam Fits You Best?
23 juin,22 h 00,Get Certified : (PL‑300) Power BI Data Analyst (APAC)
24 juin,15 h 00,Fabric IQ
25 juin,15 h 00,Get Certified : (Exam Day) What to Expect and How to Pass (US/EMEA)
25 juin,20 h 00,SQL Hackathon
