🔗 Lien,🧭 Destination / Fonction,🗓️ Contexte / Événement associé,🧩 Type de ressource,🌍 Langue / Région
https://aka.ms/dd/studygroup,Rejoindre un groupe d’étude Data Days,"Préparation aux certifications PL‑300, DP‑600, DP‑700, DP‑800",Communauté / Apprentissage,Anglais / Global
https://aka.ms/dd/create,Créer ou participer à un projet Data Days,Initiatives “Créer avec Fabric / Power BI”,Création / Projet,Anglais / Global
https://aka.ms/dd/connect,Connexion à la communauté Data Days / Microsoft Fabric,Échanges entre participants et mentors,Réseau / Collaboration,Anglais / Global
https://aka.ms/dd/cert,Certification DP‑600 (Fabric Analytics Engineer),Étapes pour obtenir la certification,Certification / Formation,Anglais / Global
https://aka.ms/pl300/prepare,Préparation à la certification PL‑300 (Power BI Data Analyst),Modules d’étude et ressources officielles Microsoft Learn,Formation / Certification,Anglais / Global
https://aka.ms/JoinFabricUserPanel,Panel utilisateur Fabric,Programme de feedback sur Microsoft Fabric,Feedback / Communauté,Anglais / Global
https://aka.ms/JoinFabricIQUserPanel,Panel utilisateur Fabric IQ,Tests et retours sur les fonctionnalités Fabric IQ,Feedback / Innovation,Anglais / Global
https://aka.ms/JoinSQLUserPanel,Panel utilisateur SQL,Participation à la communauté SQL et retours produits,Feedback / Base de données,Anglais / Global
https://developer.microsoft.com/fr-fr/reactor/events/27210,Événement Get Certified: PL‑300 Power BI Data Analyst (US/EMEA),"Session du 22 juin 2026, 15h–16h UTC",Événement / Formation,Anglais / EMEA
https://developer.microsoft.com/fr-fr/reactor/events/27209,Événement Get Certified: PL‑300 Power BI Data Analyst (APAC),"Session du 23 juin 2026, 22h–23h UTC",Événement / Formation,Anglais / APAC
https://community.fabric.microsoft.com/t5/Power-BI-Community-Blog/Data-Days-Join-a-Study-Group/ba-p/5188509,Article officiel **“Journées de données,Rejoignez un groupe d’étude”**,"Présente les sessions PL‑300, DP‑600, DP‑700, DP‑800",Blog / Communauté,Français / Global
https://www.youtube.com/playlist?list=PLLfsxegit-6-IAI7snQJepxa0I3YnncIF,Playlist Data Days 2026 – YouTube,Vidéos de formation PL‑300 et Fabric,Vidéo / Formation,Anglais / Global
