id_achat,id_magasin,fournisseur,id_produit,date_achat,quantité,coût_unitaire,coût_total
1,3,Fourni_D,2,04-05-2025,185,24.54,4539.9
2,11,Fourni_B,7,27 Apr 2025,98,6.67,653.66
3,11,Fourni_B,3,2024-07-13,172,30.83,5302.76
4,2,Fourni_C,84,12/10/2024,142,12.76,1811.92
5,1,Fourni_C,19,28 June 2024,86,37.66,3238.76
6,6,Fourni_A,1,06-04-2024,62,43.1,2672.2
7,12,Fourni_D,53,09-30-2024,128,20.96,2682.88
8,6,Fourni_C,50,11 May 2024,108,42.44,4583.52
9,2,Fourni_C,49,2024-11-09,25,5.35,133.75
10,9,Fourni_A,24,08-14-2024,88,13.72,1207.36
11,3,Fourni_B,7,11 May 2024,195,6.48,1263.6
12,3,,76,11/01/2025,66,35.08,2315.28
13,8,Fourni_D,65,08/07/2024,185,37.03,6850.55
14,1,Fourni_B,50,2025-01-02,58,39.35,2282.3
15,6,Fourni_D,39,06 May 2024,184,33.87,6232.08
16,8,Fourni_D,78,21/10/2024,164,6.01,985.64
17,7,Fourni_D,56,06-09-2024,53,5.53,293.09
18,2,Fourni_A,69,31/07/2024,25,28.08,702.0
19,3,,1,07/07/2024,126,42.81,5394.06
20,5,Fourni_D,56,07 August 2024,42,5.88,246.96
21,2,Fourni_A,71,24 Oct 2024,179,35.43,6341.97
22,3,Fourni_B,34,10-13-2024,72,20.6,1483.2
23,9,Fourni_A,44,07-28-2024,62,32.93,2041.66
24,12,Fourni_B,60,14 March 2025,10,36.11,361.1
25,6,Fourni_D,5,15 July 2024,188,7.29,1370.52
26,9,Fourni_D,51,23/03/2025,199,27.5,5472.5
27,10,Fourni_B,73,07-15-2024,115,31.03,3568.45
28,2,Fourni_B,5,19/03/2025,59,7.57,446.63
29,8,Fourni_C,71,07-01-2024,164,33.09,5426.76
30,6,Fourni_C,65,24/09/2024,15,,603.45
31,11,Fourni_D,27,06-04-2024,106,43.54,4615.24
32,7,Fourni_A,78,05 Jan 2025,45,5.77,259.65
33,6,Fourni_D,18,11-07-2024,20,46.66,933.2
34,4,Fourni_A,93,2025-03-03,57,9.3,530.1
35,7,Fourni_C,53,04-27-2025,97,18.87,1830.39
36,11,Fourni_A,48,2024-09-18,147,25.84,3798.48
37,7,Fourni_A,97,28 March 2025,176,30.06,5290.56
38,12,Fourni_C,40,16 January 2025,46,25.09,1154.14
39,4,Fourni_C,55,08-03-2024,154,22.55,3472.7
40,8,Fourni_D,75,2025-03-15,51,37.19,1896.69
41,3,Fourni_C,52,10-23-2024,86,34.45,2962.7
42,5,Fourni_B,69,02-08-2025,97,30.17,2926.49
43,12,Fourni_C,37,2025-03-25,188,9.93,1866.84
44,3,Fourni_D,38,08 November 2024,92,15.74,1448.08
45,7,Fourni_B,78,06-13-2024,94,5.6,526.4
46,2,,51,04 January 2025,165,23.04,3801.6
47,11,Fourni_D,44,2024-10-26,31,31.1,964.1
48,10,Fourni_C,16,30 January 2025,37,,720.39
49,2,Fourni_B,24,31 Aug 2024,81,16.1,1304.1
50,3,Fourni_C,46,03-13-2025,176,39.81,7006.56
51,9,Fourni_C,7,09 Mar 2025,140,7.26,1016.4
52,5,Fourni_A,36,07 May 2024,149,51.74,7709.26
53,4,Fourni_D,15,03-17-2025,129,16.43,2119.47
54,3,Fourni_A,41,04 Jan 2025,93,20.18,1876.74
55,5,Fourni_D,100,2025-03-17,53,4.94,261.82
56,11,Fourni_D,97,04 Aug 2024,35,28.16,985.6
57,2,Fourni_D,34,11 Nov 2024,104,19.79,2058.16
58,1,Fourni_C,37,07 Jun 2024,177,10.29,1821.33
59,6,Fourni_A,100,06-12-2024,131,5.4,707.4
60,7,Fourni_C,95,25 Oct 2024,23,23.56,541.88
61,2,,22,26/01/2025,59,31.45,1855.55
62,1,Fourni_C,6,30 December 2024,144,16.0,2304.0
63,11,Fourni_A,68,2025-04-01,95,45.26,4299.7
64,7,Fourni_B,71,02 April 2025,145,35.07,5085.15
65,9,Fourni_D,22,12 Jan 2025,163,30.04,4896.52
66,4,Fourni_D,74,2025-04-13,13,25.88,336.44
67,4,Fourni_B,69,01-28-2025,193,32.07,6189.51
68,2,Fourni_C,68,24 Mar 2025,13,49.91,648.83
69,8,Fourni_C,46,11-11-2024,24,39.57,949.68
70,3,Fourni_D,17,06 Mar 2025,116,35.43,4109.88
71,2,Fourni_A,52,04-07-2025,189,33.73,6374.97
72,11,Fourni_D,16,16/12/2024,166,21.79,3617.14
73,7,Fourni_A,9,11 May 2024,78,31.5,2457.0
74,3,Fourni_C,14,20 May 2024,32,11.32,362.24
75,11,Fourni_C,11,2025-04-17,152,,4543.28
76,9,Fourni_D,48,25 Apr 2025,32,30.91,989.12
77,11,Fourni_D,17,21 Sep 2024,82,36.59,3000.38
78,5,Fourni_C,50,08 Oct 2024,198,42.8,8474.4
79,6,Fourni_C,100,05-10-2024,175,4.83,845.25
80,5,Fourni_B,3,15/03/2025,107,31.73,3395.11
81,11,Fourni_B,74,2024-05-12,139,26.74,3716.86
82,10,Fourni_B,77,29/05/2024,160,12.0,1920.0
83,1,Fourni_D,43,19 December 2024,140,29.38,4113.2
84,1,Fourni_C,59,18 Jul 2024,38,35.51,1349.38
85,8,Fourni_A,99,05 Oct 2024,74,38.29,2833.46
86,10,Fourni_C,1,2025-02-20,31,48.12,1491.72
87,7,Fourni_D,80,06-27-2024,17,29.93,508.81
88,4,Fourni_C,56,2025-01-17,142,5.69,807.98
89,8,Fourni_A,75,12-24-2024,190,39.04,7417.6
90,6,Fourni_A,56,25 December 2024,82,5.3,434.6
91,11,Fourni_B,93,02 May 2024,37,10.56,390.72
92,6,Fourni_A,98,2024-05-07,153,28.5,4360.5
93,12,Fourni_C,97,12-08-2024,112,29.76,3333.12
94,10,Fourni_D,83,10-16-2024,151,22.46,3391.46
95,4,Fourni_D,72,12 October 2024,141,32.79,4623.39
96,12,Fourni_C,12,04 October 2024,52,23.96,1245.92
97,3,Fourni_A,74,07/09/2024,196,25.59,5015.64
98,11,Fourni_A,96,02 February 2025,150,22.9,3435.0
99,8,,3,05-10-2024,195,28.35,5528.25
100,10,Fourni_B,81,08-25-2024,199,36.73,7309.27
101,8,Fourni_D,62,2024-11-26,160,50.4,8064.0
102,6,Fourni_B,53,01 Apr 2025,147,20.7,3042.9
103,6,Fourni_D,45,2024-12-17,47,33.72,1584.84
104,9,Fourni_A,30,13/07/2024,114,36.32,4140.48
