id_stock,id_magasin,id_produit,quantité,date_réapprovisionnement
1,1,65,22.0,19 Jan 2025
2,1,97,188.0,24/06/2024
3,1,1,92.0,13 June 2024
4,1,92,132.0,23/07/2024
5,1,20,156.0,25/08/2024
6,1,33,43.0,08-21-2024
7,1,55,181.0,24 Feb 2025
8,1,54,177.0,30 Oct 2024
9,1,89,85.0,20/05/2024
10,1,36,29.0,24 August 2024
11,1,46,46.0,09/02/2025
12,1,62,122.0,04 July 2024
13,1,35,36.0,13/04/2025
14,1,72,154.0,08-04-2024
15,1,100,17.0,13 October 2024
16,1,96,175.0,
17,1,57,112.0,06 May 2024
18,1,79,89.0,2024-07-22
19,1,51,98.0,23/01/2025
20,1,88,21.0,13/04/2025
21,1,53,114.0,10 Aug 2024
22,1,18,26.0,
23,1,50,115.0,05-03-2024
24,1,23,111.0,2024-08-19
25,1,48,30.0,2024-05-02
26,1,60,59.0,23 Dec 2024
27,1,7,30.0,16 Jun 2024
28,1,93,28.0,2024-08-02
29,1,81,23.0,28 Aug 2024
30,1,12,122.0,30/03/2025
31,1,69,39.0,2024-09-08
32,1,71,150.0,2024-07-23
33,1,68,63.0,05-13-2024
34,1,16,157.0,26/07/2024
35,1,76,44.0,13 April 2025
36,1,40,183.0,13/12/2024
37,1,14,191.0,16 Feb 2025
38,1,45,131.0,2024-08-22
39,1,19,168.0,10 January 2025
40,1,25,78.0,06 August 2024
41,1,22,10.0,15 Aug 2024
42,1,42,171.0,05-04-2024
43,1,70,80.0,2025-02-10
44,1,82,59.0,05 Aug 2024
45,1,39,115.0,10-28-2024
46,1,52,158.0,07/09/2024
47,1,37,140.0,05-02-2024
48,1,9,182.0,10-07-2024
49,1,83,190.0,2024-05-02
50,1,95,44.0,
51,2,30,138.0,08-06-2024
52,2,61,86.0,23 Sep 2024
53,2,92,145.0,23 Feb 2025
54,2,72,162.0,25 August 2024
55,2,93,110.0,24 Mar 2025
56,2,6,90.0,28/01/2025
57,2,28,14.0,03-12-2025
58,2,78,14.0,10-07-2024
59,2,50,137.0,12 February 2025
