"FACT_LOAN_ID","LOAN_AMOUNT","INT_RATE","INSTALLMENT","TOTAL_PAYMENT","DTI","APPLICATION_TYPE","DIM_LOAN_ID","BORROWER_ID","STATE_CODE","ISSUE_DATE_ID","LAST_PAYMENT_DATE_ID","NEXT_PAYMENT_DATE_ID","LAST_CREDIT_PULL_DATE_ID"
1027822,1800,0.0751,56,2013,0.2692,"INDIVIDUAL","105","1257204","KY",11-NOV-2021,14-AUG-2021,14-SEP-2021,16-MAY-2021
700052,10000,0.0692,308.41,11103,0.203,"INDIVIDUAL","105","891691","NC",11-APR-2021,14-APR-2021,14-MAY-2021,15-NOV-2021
661459,6500,0.0729,201.57,7257,0.1988,"INDIVIDUAL","247","845936","OH",11-FEB-2021,14-FEB-2021,14-MAR-2021,14-FEB-2021
768140,5000,0.0749,155.51,5312,0.1433,"INDIVIDUAL","247","969361","CA",11-MAY-2021,12-DEC-2021,12-JAN-2022,12-DEC-2021
823069,8000,0.0749,248.82,8615,0.0286,"INDIVIDUAL","247","1031607","CT",11-JUL-2021,12-NOV-2021,12-DEC-2021,12-NOV-2021
761499,8000,0.0749,248.82,8957,0.1825,"INDIVIDUAL","247","961964","GA",11-MAY-2021,14-JUN-2021,14-JUL-2021,14-AUG-2021
390651,8000,0.0932,255.58,9201,0.0518,"INDIVIDUAL","247","425903","VA",09-APR-2021,12-APR-2021,12-MAY-2021,15-JUL-2021
483645,6000,0.0751,186.66,6720,0.1831,"INDIVIDUAL","247","615502","GA",10-FEB-2021,13-FEB-2021,13-MAR-2021,13-FEB-2021
866551,3000,0.0749,93.31,3359,0.1916,"INDIVIDUAL","247","1079988","IL",11-SEP-2021,14-SEP-2021,14-OCT-2021,14-SEP-2021
394295,15000,0.0963,481.42,17331,0.1257,"INDIVIDUAL","359","432897","CA",09-APR-2021,12-MAY-2021,12-JUN-2021,12-MAY-2021
472637,8700,0.0705,268.83,9538,0.0267,"INDIVIDUAL","7","596861","TX",09-DEC-2021,11-DEC-2021,11-JAN-2022,11-DEC-2021
732697,5600,0.0542,168.9,6080,0.04,"INDIVIDUAL","7","928926","CO",11-APR-2021,14-MAY-2021,14-JUN-2021,15-OCT-2021
628369,1800,0.0617,54.9,1977,0.1997,"INDIVIDUAL","105","805177","TX",10-DEC-2021,13-DEC-2021,13-JAN-2022,13-DEC-2021
842807,7000,0.0749,217.72,7838,0.1883,"INDIVIDUAL","247","1053506","NY",11-AUG-2021,14-AUG-2021,14-SEP-2021,16-MAY-2021
564180,4600,0.0639,140.76,5068,0.052,"INDIVIDUAL","7","725950","CA",10-AUG-2021,13-SEP-2021,13-OCT-2021,13-AUG-2021
464609,2000,0.074,62.12,2036,0.1004,"INDIVIDUAL","96","582432","AZ",09-DEC-2021,10-MAR-2021,10-APR-2021,16-MAY-2021
1050642,3800,0.0662,116.68,4187,0.1207,"INDIVIDUAL","96","1281883","OH",11-DEC-2021,14-JUN-2021,14-JUL-2021,14-JUN-2021
710680,5000,0.0579,151.64,5459,0.1129,"INDIVIDUAL","96","903454","PA",11-MAR-2021,14-APR-2021,14-MAY-2021,14-APR-2021
390765,10000,0.08,313.37,10513,0.0036,"INDIVIDUAL","105","426115","MD",09-APR-2021,10-FEB-2021,10-MAR-2021,10-MAR-2021
1026512,3000,0.0603,91.31,3287,0.0118,"INDIVIDUAL","7","1255698","TX",11-NOV-2021,14-DEC-2021,14-JAN-2022,14-NOV-2021
471543,16000,0.0705,494.4,17370,0.064,"INDIVIDUAL","7","595343","FL",09-DEC-2021,11-AUG-2021,11-SEP-2021,11-AUG-2021
873529,1300,0.0542,39.21,1411,0.067,"INDIVIDUAL","7","1087835","NY",11-SEP-2021,14-SEP-2021,14-OCT-2021,15-SEP-2021
550334,4500,0.0676,138.46,4613,0.0829,"INDIVIDUAL","96","709388","VA",10-JUL-2021,11-MAR-2021,11-APR-2021,16-MAY-2021
361816,5000,0.08,156.69,5641,0.0428,"INDIVIDUAL","105","370608","CA",08-NOV-2021,11-NOV-2021,11-DEC-2021,16-MAY-2021
399481,9000,0.08,282.03,10153,0.0898,"INDIVIDUAL","105","442237","FL",09-MAY-2021,12-MAY-2021,12-JUN-2021,16-MAR-2021
887905,4000,0.0603,121.75,4383,0.1753,"INDIVIDUAL","7","1104233","VA",11-SEP-2021,14-OCT-2021,14-NOV-2021,16-MAY-2021
834628,3500,0.0542,105.56,3800,0.0585,"INDIVIDUAL","7","1044500","GA",11-AUG-2021,14-AUG-2021,14-SEP-2021,16-MAY-2021
803977,6000,0.0542,180.96,6515,0.044,"INDIVIDUAL","7","1009793","WA",11-JUL-2021,14-JUL-2021,14-AUG-2021,16-MAY-2021
460501,5000,0.074,155.3,5398,0.0317,"INDIVIDUAL","96","574859","GA",09-NOV-2021,11-APR-2021,11-MAY-2021,12-JAN-2021
500124,8000,0.0714,247.52,8906,0.0329,"INDIVIDUAL","105","642219","AZ",10-APR-2021,13-FEB-2021,13-MAR-2021,13-FEB-2021
421959,3000,0.0932,95.85,3189,0.0833,"INDIVIDUAL","247","496234","GA",09-JUL-2021,10-MAY-2021,10-JUN-2021,10-MAY-2021
1040942,6000,0.079,187.75,6395,0.2009,"INDIVIDUAL","247","1271153","PA",11-DEC-2021,13-JUL-2021,13-AUG-2021,13-JUL-2021
694067,4000,0.0542,120.64,4343,0.0725,"INDIVIDUAL","7","884942","NY",11-MAR-2021,14-MAR-2021,14-APR-2021,14-MAR-2021
720394,5600,0.0692,172.71,6130,0.0061,"INDIVIDUAL","105","914846","NV",11-APR-2021,13-MAR-2021,13-APR-2021,13-APR-2021
360506,4000,0.08,125.35,4512,0.0507,"INDIVIDUAL","105","368318","GA",08-NOV-2021,11-NOV-2021,11-DEC-2021,11-NOV-2021
673841,3050,0.0729,94.59,3170,0.014,"INDIVIDUAL","247","861281","CA",11-FEB-2021,11-SEP-2021,11-OCT-2021,13-JUL-2021
667916,6000,0.0542,180.96,6515,0.1429,"INDIVIDUAL","7","853863","NY",11-FEB-2021,14-FEB-2021,14-MAR-2021,14-FEB-2021
708650,5000,0.0692,154.21,5543,0.0217,"INDIVIDUAL","105","901168","FL",11-MAR-2021,13-DEC-2021,13-JAN-2022,13-DEC-2021
645985,7800,0.0542,235.25,8388,0.0524,"INDIVIDUAL","7","826524","CA",11-JAN-2021,13-FEB-2021,13-MAR-2021,15-FEB-2021
784380,4500,0.0542,135.72,4680,0.109,"INDIVIDUAL","7","987587","SC",11-JUN-2021,12-MAY-2021,12-JUN-2021,15-DEC-2021
863309,5900,0.0599,179.47,6461,0.205,"INDIVIDUAL","96","1076434","CT",11-SEP-2021,14-SEP-2021,14-OCT-2021,14-SEP-2021
831388,2000,0.0749,62.21,2239,0.2712,"INDIVIDUAL","247","1040609","OH",11-AUG-2021,14-AUG-2021,14-SEP-2021,14-AUG-2021
726906,3000,0.0729,93.03,3292,0.0737,"INDIVIDUAL","247","922378","VA",11-APR-2021,13-FEB-2021,13-MAR-2021,15-DEC-2021
749594,3600,0.0542,108.58,3909,0.15,"INDIVIDUAL","7","948842","CA",11-MAY-2021,14-MAY-2021,14-JUN-2021,14-MAY-2021
1039551,5500,0.0603,167.4,6026,0.1085,"INDIVIDUAL","7","1269489","CA",11-NOV-2021,14-DEC-2021,14-JAN-2022,16-MAY-2021
725132,5900,0.0766,183.97,6534,0.1734,"INDIVIDUAL","359","920343","DE",11-APR-2021,13-APR-2021,13-MAY-2021,13-MAY-2021
759237,4000,0.0542,120.64,4343,0.1927,"INDIVIDUAL","7","959469","MO",11-MAY-2021,14-JUN-2021,14-JUL-2021,14-MAY-2021
388170,12000,0.0737,372.55,13412,0.101,"INDIVIDUAL","7","421436","FL",09-MAR-2021,12-APR-2021,12-MAY-2021,15-MAY-2021
